                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1418,                 1.9354,                 1.4029,                0.19725,                0.37472,                0.15041,                0.06799,                 2.0881,                 3.3535,                 2.7971,             0.00047473,             0.00047473,             0.00047473
                      2,                 1.2127,                 1.6016,                 1.4654,                0.19878,                0.36677,                0.19104,                0.09078,                 1.8551,                 2.9486,                 2.4635,             0.00094165,             0.00094165,             0.00094165
                      3,                 1.1873,                 1.5591,                 1.4611,                0.21715,                0.33632,                0.17373,                0.06343,                 2.1725,                 2.7822,                 2.6776,              0.0013991,              0.0013991,              0.0013991
                      4,                 1.1483,                 1.4258,                 1.4348,                0.26922,                0.37203,                0.21204,                0.09244,                 1.9186,                  2.653,                 2.3857,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.0355,                 1.2706,                 1.3409,                0.32143,                0.45334,                0.29251,                0.12709,                 1.9655,                 2.2515,                 2.5333,              0.0013724,              0.0013724,              0.0013724
                      6,                 0.9838,                 1.1883,                 1.3262,                 0.3665,                0.48938,                0.34507,                0.15074,                 1.9266,                   2.22,                 2.5012,              0.0013583,              0.0013583,              0.0013583
                      7,                0.91449,                  1.057,                 1.2804,                0.40231,                0.37121,                0.26969,                0.11601,                 1.9344,                 2.6942,                 2.5601,              0.0013441,              0.0013441,              0.0013441
                      8,                0.89373,                 1.0329,                 1.2695,                0.42283,                0.45629,                0.41584,                0.21442,                 1.6804,                  1.893,                 2.1766,                0.00133,                0.00133,                0.00133
                      9,                0.84444,                0.98942,                 1.2366,                0.44427,                0.46254,                0.39875,                0.19301,                 1.8597,                 2.0688,                 2.4602,              0.0013158,              0.0013158,              0.0013158
                     10,                0.79211,                0.90701,                 1.1957,                0.43218,                0.43737,                0.37386,                0.18271,                 1.7069,                 2.1263,                 2.1742,              0.0013017,              0.0013017,              0.0013017
                     11,                0.71844,                0.84477,                 1.1523,                0.50674,                0.43192,                0.40557,                0.20659,                 1.7228,                 2.0719,                 2.2649,              0.0012875,              0.0012875,              0.0012875
                     12,                0.71404,                0.81727,                 1.1483,                0.54285,                0.48707,                0.49989,                0.26049,                 1.6957,                 1.9146,                 2.2192,              0.0012734,              0.0012734,              0.0012734
                     13,                0.68836,                0.80499,                 1.1401,                0.47576,                  0.554,                0.49701,                0.28052,                 1.6206,                 1.7097,                 2.0392,              0.0012592,              0.0012592,              0.0012592
                     14,                0.66747,                 0.7534,                 1.1195,                0.43631,                0.50899,                0.40544,                0.22796,                 1.7119,                 2.5522,                 2.2157,              0.0012451,              0.0012451,              0.0012451
                     15,                0.65312,                0.74555,                 1.1139,                0.57209,                0.52688,                0.54151,                0.29896,                 1.5557,                 1.5705,                  2.034,              0.0012309,              0.0012309,              0.0012309
                     16,                0.62419,                0.71769,                 1.0925,                0.53497,                0.57841,                0.54892,                0.29696,                 1.5848,                 1.7465,                 2.0258,              0.0012168,              0.0012168,              0.0012168
                     17,                0.61495,                0.70558,                 1.0943,                0.55288,                0.57359,                0.53226,                0.28996,                 1.5445,                 1.7541,                 1.9844,              0.0012026,              0.0012026,              0.0012026
                     18,                0.62178,                0.69132,                 1.0975,                0.58077,                0.50222,                0.55605,                0.31125,                 1.5874,                 1.7462,                 2.0427,              0.0011885,              0.0011885,              0.0011885
                     19,                0.59011,                0.67104,                 1.0776,                 0.5985,                 0.5975,                0.60498,                0.33339,                 1.5321,                 1.5029,                 2.0034,              0.0011744,              0.0011744,              0.0011744
                     20,                0.59325,                0.67705,                  1.075,                 0.5224,                0.58694,                0.54911,                0.29735,                 1.5882,                 1.5954,                 2.0263,              0.0011602,              0.0011602,              0.0011602
                     21,                0.56767,                0.66194,                 1.0725,                0.54325,                0.63491,                0.53468,                0.29833,                 1.6084,                 1.6459,                 2.1462,              0.0011461,              0.0011461,              0.0011461
                     22,                0.53407,                0.62254,                 1.0563,                0.48833,                0.59568,                 0.5897,                0.33801,                 1.6123,                 1.7277,                 2.1828,              0.0011319,              0.0011319,              0.0011319
                     23,                0.54674,                0.60823,                 1.0456,                0.58166,                 0.5609,                0.62305,                0.36389,                 1.5051,                 1.5418,                 1.9662,              0.0011178,              0.0011178,              0.0011178
                     24,                0.51921,                0.55942,                 1.0256,                0.55129,                0.57722,                0.55987,                0.31263,                 1.6024,                 1.6331,                 2.0355,              0.0011036,              0.0011036,              0.0011036
                     25,                0.54359,                0.59681,                 1.0485,                0.61489,                0.56464,                0.60019,                0.35043,                 1.5014,                 1.5872,                 1.9494,              0.0010895,              0.0010895,              0.0010895
